Time,ManagementArea,Prescription,Stand,EventID,StandAge,StandRank,NumberOfSites,HarvestedSites,MgBiomassRemoved,MgBioRemovedPerDamagedHa,TotalCohortsPartialHarvest,TotalCohortsCompleteHarvest,CohortsHarvested_ACRU,CohortsHarvested_BENI,CohortsHarvested_CAGL8,CohortsHarvested_CATO6,CohortsHarvested_FAGR,CohortsHarvested_FRAM2,CohortsHarvested_FRPE,CohortsHarvested_JUNI,CohortsHarvested_JUVI,CohortsHarvested_LIST,CohortsHarvested_LITU,CohortsHarvested_NYSY,CohortsHarvested_OXAR,CohortsHarvested_PIEC,CohortsHarvested_PIST,CohortsHarvested_PITA,CohortsHarvested_PIVI2,CohortsHarvested_PLOC,CohortsHarvested_PRSE2,CohortsHarvested_QUAL,CohortsHarvested_QUCO2,CohortsHarvested_QUFA,CohortsHarvested_QUMO4,CohortsHarvested_QUPH,CohortsHarvested_QURU,CohortsHarvested_QUST,CohortsHarvested_QUVE,CohortsHarvested_ULAL,CohortsHarvested_ULAM,CohortsHarvested_PIPA,BiomassHarvestedMg_ACRU,BiomassHarvestedMg_BENI,BiomassHarvestedMg_CAGL8,BiomassHarvestedMg_CATO6,BiomassHarvestedMg_FAGR,BiomassHarvestedMg_FRAM2,BiomassHarvestedMg_FRPE,BiomassHarvestedMg_JUNI,BiomassHarvestedMg_JUVI,BiomassHarvestedMg_LIST,BiomassHarvestedMg_LITU,BiomassHarvestedMg_NYSY,BiomassHarvestedMg_OXAR,BiomassHarvestedMg_PIEC,BiomassHarvestedMg_PIST,BiomassHarvestedMg_PITA,BiomassHarvestedMg_PIVI2,BiomassHarvestedMg_PLOC,BiomassHarvestedMg_PRSE2,BiomassHarvestedMg_QUAL,BiomassHarvestedMg_QUCO2,BiomassHarvestedMg_QUFA,BiomassHarvestedMg_QUMO4,BiomassHarvestedMg_QUPH,BiomassHarvestedMg_QURU,BiomassHarvestedMg_QUST,BiomassHarvestedMg_QUVE,BiomassHarvestedMg_ULAL,BiomassHarvestedMg_ULAM,BiomassHarvestedMg_PIPA,
50, 2, OP_RESISTANCE, 84, 10, 50, 80, 1, 1, 7.245, 14.49, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.245, 0, 0, 0, 0, 0, 0, 0, 
50, 2, OP_RESISTANCE, 101, 11, 50, 40, 2, 2, 13.7, 13.7, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.12, 0, 2.84, 0, 0, 0, 
50, 2, OH_RESISTANCE, 99, 13, 50, 50, 2, 2, 23.26, 23.26, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11.775, 0, 0, 0, 0, 0, 11.485, 0, 0, 0, 0, 
50, 3, OP_RESISTANCE, 17, 14, 50, 80, 1, 1, 8.325, 16.65, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.325, 0, 0, 0, 0, 0, 0, 0, 
60, 1, OH_RESISTANCE, 4, 23, 60, 103.636363636364, 2, 2, 22.03, 22.03, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13.205, 8.825, 0, 0, 0, 0, 0, 
60, 1, OH_RESISTANCE, 21, 20, 60, 109.090909090909, 1, 1, 8.5, 17, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.5, 0, 0, 0, 0, 0, 
60, 1, OH_RESISTANCE, 43, 19, 60, 109.090909090909, 2, 2, 18.235, 18.235, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18.235, 0, 0, 0, 0, 0, 
60, 1, OP_RESISTANCE, 51, 17, 60, 48, 2, 2, 16.815, 16.815, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.74, 0, 0, 2.96, 0, 0, 0, 
60, 1, OH_RESISTANCE, 42, 25, 60, 72.7272727272727, 3, 3, 29.3, 19.5333, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16.745, 12.555, 0, 0, 0, 0, 
60, 1, OH_RESISTANCE, 38, 22, 60, 109.090909090909, 1, 1, 8.21, 16.42, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.21, 0, 0, 0, 0, 0, 
60, 1, OH_RESISTANCE, 39, 18, 60, 109.090909090909, 2, 2, 16.14, 16.14, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16.14, 0, 0, 0, 0, 0, 
60, 1, OP_RESISTANCE, 58, 21, 60, 48, 6, 6, 46.815, 15.605, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18.995, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.425, 0, 0, 0, 11.435, 0, 8.96, 0, 0, 0, 
60, 1, OH_RESISTANCE, 59, 27, 60, 65.4545454545455, 5, 5, 48.035, 19.214, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11.31, 12.725, 0, 0, 24, 0, 0, 0, 0, 0, 
