# precip,,,
,eco1,eco1,eco1
TIMESTEP,MEAN(mm),VARIANCE(mm^2),STD_DEV(mm)
1979-04-12T00:00:00Z,8.035583,65.69255,8.105094
1979-04-13T00:00:00Z,19.07729,30.684399,5.53935
1979-04-14T00:00:00Z,0.16214351,0.28966525,0.53820556
1979-04-15T00:00:00Z,0.17083554,0.4498724,0.6707253
1979-04-16T00:00:00Z,0,0,0
1979-04-17T00:00:00Z,0,0,0
1979-04-18T00:00:00Z,0,0,0
1979-04-19T00:00:00Z,0,0,0
1979-04-20T00:00:00Z,0,0,0
1979-04-21T00:00:00Z,0.026019277,0.009461942,0.097272515
1979-04-22T00:00:00Z,0.35185537,0.70991385,0.84256387
1979-04-23T00:00:00Z,0.22628345,0.17401017,0.41714525
1979-04-24T00:00:00Z,0.43215385,0.19202228,0.43820345
1979-04-25T00:00:00Z,14.207074,111.75548,10.571446
1979-04-26T00:00:00Z,28.420374,65.1825,8.073568
1979-04-27T00:00:00Z,1.1208656,1.1589962,1.0765669
1979-04-28T00:00:00Z,0.11437213,0.041247908,0.20309581
1979-04-29T00:00:00Z,0.057778753,0.019043587,0.1379985
1979-04-30T00:00:00Z,0.003116891,9.39E-04,0.030641949
1979-05-01T00:00:00Z,0,0,0
1979-05-02T00:00:00Z,0,0,0
1979-05-03T00:00:00Z,4.117759,11.484161,3.388829
1979-05-04T00:00:00Z,2.429776,2.1262705,1.4581738
1979-05-05T00:00:00Z,1.9502233,3.926019,1.9814184
1979-05-06T00:00:00Z,0.024825335,0.015929835,0.12621345
1979-05-07T00:00:00Z,0.38209572,0.4540919,0.6738634
1979-05-08T00:00:00Z,1.9120287,3.5574145,1.886111
1979-05-09T00:00:00Z,6.901274,28.384518,5.327712
1979-05-10T00:00:00Z,5.4712815,19.338966,4.397609
1979-05-11T00:00:00Z,10.07549,35.043484,5.919754
1979-05-12T00:00:00Z,12.503501,64.015274,8.000955
1979-05-13T00:00:00Z,14.509362,29.522568,5.4334674
1979-05-14T00:00:00Z,11.491865,55.99192,7.4827747
1979-05-15T00:00:00Z,0.50803244,0.7018117,0.83774203
1979-05-16T00:00:00Z,0.060596917,0.13491863,0.3673127
1979-05-17T00:00:00Z,0.048377186,0.06769205,0.26017696
1979-05-18T00:00:00Z,4.049099,31.849243,5.643513
1979-05-19T00:00:00Z,1.4459506,2.4137082,1.5536113
1979-05-20T00:00:00Z,1.0159383,3.0444844,1.744845
1979-05-21T00:00:00Z,3.3655894,12.601501,3.5498593
1979-05-22T00:00:00Z,4.357877,11.3276205,3.365653
1979-05-23T00:00:00Z,9.037529,70.36195,8.388204
1979-05-24T00:00:00Z,10.500385,12.526148,3.5392299
1979-05-25T00:00:00Z,1.1200465,0.7307587,0.8548443
1979-05-26T00:00:00Z,0.15151298,0.060795132,0.24656668
1979-05-27T00:00:00Z,2.0048528,0.8502058,0.92206603
1979-05-28T00:00:00Z,2.7676578,5.466664,2.3380897
1979-05-29T00:00:00Z,0.6783441,1.5964566,1.2635096
1979-05-30T00:00:00Z,1.9428908,2.5645843,1.601432
1979-05-31T00:00:00Z,10.643965,12.398064,3.5210884
1979-06-01T00:00:00Z,1.6259497,6.208244,2.4916348
1979-06-02T00:00:00Z,2.937018,7.845323,2.8009505
1979-06-03T00:00:00Z,19.696136,66.88719,8.178459
1979-06-04T00:00:00Z,10.052602,123.09981,11.095036
1979-06-05T00:00:00Z,0.036181353,0.04771973,0.21844846
1979-06-06T00:00:00Z,1.1519533,3.2569604,1.804705
1979-06-07T00:00:00Z,1.2662191,4.671511,2.161368
1979-06-08T00:00:00Z,0.45413002,1.787034,1.3368
1979-06-09T00:00:00Z,2.3655689,8.318352,2.8841553
1979-06-10T00:00:00Z,2.936753,4.712361,2.1707973
1979-06-11T00:00:00Z,1.8277824,2.5314648,1.5910578
1979-06-12T00:00:00Z,0,0,0
1979-06-13T00:00:00Z,0,0,0
1979-06-14T00:00:00Z,0.032252178,0.015714059,0.12535574
1979-06-15T00:00:00Z,1.544978,5.0222325,2.2410338
1979-06-16T00:00:00Z,53.387074,408.51132,20.211662
1979-06-17T00:00:00Z,2.0851038,1.3658494,1.1686956
1979-06-18T00:00:00Z,0.4139184,0.32468635,0.56981254
1979-06-19T00:00:00Z,1.110608,1.9341483,1.3907366
